Query,10k client,10k server,100k client,100k server,1m client,1m server
1,0.7631578947,0.2368421053,0.5,0.5,0.2,0.8
2,0.8108108108,0.1891891892,0.8108108108,0.1891891892,0.8108108108,0.1891891892
3,0.7894736842,0.2105263158,0.7894736842,0.2105263158,0.7894736842,0.2105263158
4,0.7567567568,0.2432432432,0.7567567568,0.2432432432,0.7567567568,0.2432432432
5,0.7906976744,0.2093023256,0.7906976744,0.2093023256,0.7906976744,0.2093023256
6,0.8444444444,0.1555555556,0.8444444444,0.1555555556,0.8444444444,0.1555555556
7,0.8645833333,0.1354166667,0.8645833333,0.1354166667,0.8645833333,0.1354166667
8,0.8363636364,0.1636363636,0.8363636364,0.1636363636,0.8363636364,0.1636363636
9,0.7238095238,0.2761904762,0.7238095238,0.2761904762,0.7238095238,0.2761904762
10,0.6207119741,0.3792880259,0.6207119741,0.3792880259,0.6207119741,0.3792880259
11,0.75,0.25,0.75,0.25,0.75,0.25
12,0.6034482759,0.3965517241,0.6034482759,0.3965517241,0.6034482759,0.3965517241
13,0.8382352941,0.1617647059,0.8382352941,0.1617647059,0.8382352941,0.1617647059
14,0.8043478261,0.1956521739,0.8043478261,0.1956521739,0.8043478261,0.1956521739
15,0.8811188811,0.1188811189,0.8811188811,0.1188811189,0.8811188811,0.1188811189
